Field                                 County                               Depth                                Cumm PROD                            Gravity             
SAN MIGUEL CREEK (WILCOX CONS.)       80300925 MCMULLEN                    6274                                 1654583                              39                  
SAN MIGUEL CREEK (WILCOX SD. #5)      80300945 MCMULLEN                    5784                                 24880                                36                  
SAN MIGUEL CREEK, E. (6050)           80301500 MCMULLEN                    6073                                 23588                                37                  
SAN MIGUEL CREEK, NE (WILCOX)         80303500 MCMULLEN                    6274                                 2794                                 41                  
SAN MIGUEL CREEK, NE. (W-2)           80303600 MCMULLEN                    5178                                 170476                               34                  
SAN MIGUEL CREEK, SE. (W-2A)          80305475 MCMULLEN                    5302                                 156651                               35                  
SAN PEDRO                             80338100 DIMMIT                      3080                                 5434                                 50                  
SAND PILE (AUSTIN CHALK)              80350500 ATASCOSA                    3186                                 4930                                 34                  
SAND HOLLOW (3700 SD.)                80495500 FRIO                        3726                                 2381                                 42                  
SAND-OAK (POTH B)                     80523500 WILSON                      2164                                 2314                                 20                  
SANDIES CREEK (POTH A)                80595500 GONZALES                    2519                                 1694                                 23                  
SAND PILE (BEACH ROCK)                80605500 ATASCOSA                    3114                                 0                                    38                  
SANER RANCH (SAN MIGUEL)              80714500 MAVERICK                    1460                                 419787                               10                  
SASPAMCO                              81150001 WILSON                      2846                                 1368438                              24                  
SATURN (NAVARRO)                      81218500 GONZALES                    5802                                 156739                               29                  
SAYERSVILLE (AUSTIN CHALK)            81332100 BASTROP                     2504                                 2256                                 27                  
SAYERSVILLE (BUDA)                    81332500 BASTROP                     3038                                 4068                                 17                  
SCHAFER-BROWN (ANACACHO)              81404200 MEDINA                      2000                                 2266                                 38                  
SCHUBERT (AUSTIN CHALK)               81574500 HAYS                        743                                  175                                  25                  
SCOTTY (BARTOSH SAND)                 81790333 WILSON                      1610                                 1532833                              27                  
SEGUIN                                82162001 GUADALUPE                   1192                                 1244                                 12                  
SERBIN (WILCOX)                       82265600 BASTROP                     3090                                 263896                               20                  
SHAW                                  82794001 ATASCOSA                    1504                                 1549610                              35                  
SHEPARD, NORTH                        83043700 DIMMIT                      4597                                 10111                                38                  
SIESTA LAKE (BARTOSH)                 83506500 WILSON                      1624                                 899                                  19                  
SIMPSON-MANN (CANYON)                 83704300 CROCKETT                    5700                                 17818                                45                  
SLEEPY CREEK (NAVARRO)                84033500 FRIO                        2403                                 54888                                42                  
SMILEY (AUSTIN CHALK)                 84249500 GONZALES                    7235                                 228384                               27                  
SMILEY (BUDA)                         84249550 GONZALES                    6907                                 228689                               35                  
SMILEY, SE (AUSTIN CHALK)             84253500 GONZALES                    8515                                 647111                               37                  
SMITHVILLE (AUSTIN CHALK)             84265400 BASTROP                     6580                                 497289                               37                  
SMITHVILLE (BUDA)                     84265500 BASTROP                     6832                                 4888                                 35                  
SMITHVILLE (OLMOS)                    84265700 FAYETTE                     4950                                 1892                                 40                  
SNOGA (TAYLOR OLMOS)                  84433600 WILSON                      6635                                 62195                                37                  
SOBEHRAD-ALFF (AUSTIN CHALK)          84473200 CALDWELL                    2111                                 0                                    38                  
SOLDIERS LAKE (OLMOS 6-A)             84528333 DIMMIT                      3540                                 10145                                36                  
SOMERSET                              84560001 ATASCOSA                    1001                                 26310849                             32                  
SOMERSET (ANACACHO)                   84560500 BEXAR                       1378                                 43016                                26                  
SOPHIA (WILCOX CONSOL.)               84660600 MCMULLEN                    6500                                 3026825                              41                  
SOPHIA (WILCOX WALES)                 84660700 MCMULLEN                    5661                                 853686                               34                  
SOPHIA (WILCOX WALES LOWER)           84660710 MCMULLEN                    5662                                 240039                               44                  
SOPHIA (WRIGHT)                       84660800 MCMULLEN                    6146                                 124249                               46                  
SOUTHTON                              84798001 BEXAR                       900                                  1825794                              34                  
SPEARS (REKLAW)                       85029500 WILSON                      585                                  9090                                 17                  
SPILLER                               85167001 CALDWELL                    2290                                 11337828                             38                  
SPILLMAN (OLMOS 1300)                 85185500 MAVERICK                    1304                                 912                                  39                  
SPINACH (BRACERO)                     85188200 ZAVALA                      3755                                 17950                                34                  
SPINACH (ELAINE)                      85188300 ZAVALA                      3954                                 2654300                              30                  
SPINACH (OLMOS)                       85188500 ZAVALA                      3270                                 47453                                29                  
STACY (AUSTIN CHALK)                  85457100 FRIO                        5791                                 38655                                36                  
STACY (OLMOS -A-)                     85457500 FRIO                        4280                                 1306718                              36                  
STAPLES                               85589001 GUADALUPE                   750                                  51590                                39                  
STOCKDALE (AUSTIN CHALK)              86217250 WILSON                      4883                                 299611                               31                  
STOCKDALE (BUDA)                      86217375 WILSON                      5163                                 1606                                 25                  
STOCKDALE (CARRIZO)                   86217500 WILSON                      452                                  28861                                18                  
STOCKDALE (POTH A)                    86217600 WILSON                      2746                                 11446                                30                  
STOCKDALE, EAST (BUDA)                86219200 WILSON                      5098                                 70011                                31                  
STOCKDALE, EAST (CHALK, LOWER)        86219400 WILSON                      5013                                 217483                               34                  
STOCKDALE, EAST (CHALK, UPPER)        86219600 WILSON                      4770                                 205746                               34                  
STOCKDALE, EAST (GEORGETOWN)          86219800 WILSON                      5169                                 8482                                 32                  
STOCKDALE, N. (CHALK, UPPER)          86221500 WILSON                      4856                                 117720                               36                  
STOCKDALE, NE (EDWARDS)               86222300 WILSON                      5171                                 295                                  37                  
STOCKDALE, S. (AUSTIN CHALK)          86224400 WILSON                      6360                                 177833                               40                  
STOCKDALE, W. (CHALK, UPPER)          86226500 WILSON                      4771                                 64852                                34                  
STOREY (WASHBURN, LOWER)              86357076 LA SALLE                    5400                                 8710                                 45                  
STOREY (WASHBURN, UPPER)              86357152 LA SALLE                    4953                                 63301                                38                  
STOREY (3940)                         86357160 LA SALLE                    3947                                 77424                                35                  
STOREY (4000)                         86357165 LA SALLE                    4021                                 70288                                40                  
STOREY (4225)                         86357170 LA SALLE                    4228                                 74330                                37                  
STOREY (4400)                         86357228 LA SALLE                    4405                                 4716                                 36                  
STOREY (5150)                         86357608 LA SALLE                    5180                                 30147                                41                  
STOREY (5250)                         86357760 LA SALLE                    5256                                 710651                               43                  
STOREY (5250 S)                       86357836 LA SALLE                    5256                                 9404                                 42                  
STOREY (5500)                         86357900 LA SALLE                    5494                                 13179                                38                  
STOREY (5600)                         86357912 LA SALLE                    5588                                 130320                               44                  
STOREY, E. (4                         86360280 LA SALLE                    4804                                 1444                                 42                  
STOREY, E. (5350 FRIO)                86360500 LA SALLE                    5349                                 51578                                48                  
STOREY, S. (WILCOX 5450)              86362453 LA SALLE                    5452                                 26524                                42                  
STOREY, WEST (5430)                   86364500 LA SALLE                    5436                                 18196                                45                  
STRAUS (OLMOS MIDDLE 3320)            86559666 DIMMIT                      3320                                 162                                  40                  
STRICKHAUSEN (OLMOS TRI-BAR)          86653600 LA SALLE                    8335                                 72531                                55                  
STUART CITY, S. (ESCONDIDO)           86793190 LA SALLE                    5848                                 7541                                 48                  
STUART CITY, SW. (ESCONDIDO)          86794080 LA SALLE                    5806                                 8573                                 48                  
STULTING                              86806001 GONZALES                    2036                                 875199                               22                  
STULTING, N. (WILCOX 2500)            86811650 GONZALES                    2523                                 633                                  24                  
STUMBERG (OLMOS N-2)                  86812400 DIMMIT                      4270                                 20574                                47                  
STUMBERG (OLMOS 4150)                 86812500 DIMMIT                      4195                                 347474                               49                  
STUMBERG (OLMOS 4360)                 86812600 DIMMIT                      4370                                 5204                                 42                  
STUMBERG RANCH (OLMOS)                86813490 DIMMIT                      4782                                 1589                                 42                  
STUMBERG RANCH (OLMOS 4600, STR)      86813540 DIMMIT                      4579                                 1569                                 44                  
SUN T S H (OLMOS)                     87251500 LA SALLE                    7734                                 366767                               54                  
SUN T S H (WILCOX)                    87251600 LA SALLE                    4594                                 2523                                 59                  
SUPERSTITION (SYNDICATE SAND)         87264500 MCMULLEN                    5466                                 3883                                 41                  
SUTIL (ANACACHO)                      87390100 WILSON                      6371                                 53092                                30                  
SUTIL (AUSTIN)                        87390400 WILSON                      6050                                 1098307                              19                  
SUTIL (BUDA)                          87390500 WILSON                      6297                                 1264411                              29                  
SUTIL (REEF)                          87390700 WILSON                      6126                                 707670                               30                  
SUTTON (BUDA)                         87409100 ATASCOSA                    4992                                 141                                  34                  
SUTTON (NAVARRO SAND)                 87409500 ATASCOSA                    3687                                 44740                                48                  
T-BO (REKLAW)                         87861500 WILSON                      619                                  350                                  24                  
T-E-A (MIRANDO, UPPER)                87973500 MCMULLEN                    2006                                 164887                               23                  
TRC (OLMOS -B-)                       88035200 DIMMIT                      2764                                 11637                                37                  
TRC (OLMOS -E-)                       88035500 DIMMIT                      3040                                 31273                                37                  
TAYLOR-INA                            88534001 MEDINA                      350                                  6936773                              16                  
TEAL (WALES)                          88600500 MCMULLEN                    6048                                 56124                                46                  
TEAL S. (WALES)                       88603700 MCMULLEN                    6110                                 87313                                40                  
TELEPHONE POST (5450 SAND)            88725500 MCMULLEN                    5464                                 51242                                46                  
TENNEY CREEK                          88824001 CALDWELL                    2330                                 2713023                              36                  
TEQUESQUITE RANCH (MCKNIGHT)          88844500 MAVERICK                    4825                                 112                                  34                  
THIRTEEN (AUSTIN)                     89384500 DIMMIT                      5804                                 375402                               37                  
THIRTEEN, EAST (3470 OLMOS)           89385200 DIMMIT                      3476                                 1528066                              48                  
THIRTEEN, E. (3500)                   89385400 DIMMIT                      3517                                 27383                                35                  
THIRTEEN, EAST (3600 OLMOS)           89385600 DIMMIT                      3972                                 20489                                38                  
THIRTEEN, EAST (3650 OLMOS)           89385800 DIMMIT                      3650                                 13962                                38                  
THIRTEEN, SOUTH (OLMOS, BASAL)        89388500 DIMMIT                      3796                                 2645                                 47                  
THIRTEEN, W. (OLMOS 3450)             89390500 DIMMIT                      3458                                 23294                                41                  
THOMPSON BEND (EAGLEFORD)             89542500 MAVERICK                    2880                                 638                                  21                  
THOREEN                               89549100 ZAVALA                      3794                                 900                                  17                  
THORNROCK (BUDA)                      89562500 MILAM                       2854                                 278                                  32                  
THRALL                                89606001 WILLIAMSON                  1000                                 2442380                              37                  
TILDEN, SOUTH (OLMOS)                 89960360 MCMULLEN                    9932                                 10491                                42                  
TILDEN, S. (WILCOX 5770 SD.)          89960500 MCMULLEN                    5772                                 5627                                 41                  
TILDEN, S. (WILCOX H2S DISPOSAL)      89960575 MCMULLEN                    68000                                0                                    50                  
TILDEN, S. (YEGUA)                    89960650 MCMULLEN                    682                                  1303                                 17                  
TILDEN, SOUTH (6500)                  89960750 MCMULLEN                    6450                                 3457                                 43                  
TILDEN, SOUTHEAST (650)               89965500 MCMULLEN                    651                                  564                                  21                  
TOALSON (OLMOS -A-)                   90254500 FRIO                        4222                                 124228                               26                  
TOCQUIGNY (OLMOS)                     90307480 DIMMIT                      3501                                 1195                                 56                  
TOM-RAY (OLMOS 1)                     90564333 DIMMIT                      3482                                 60381                                34                  
TOM TOM (GEORGETOWN)                  90602500 MILAM                       1720                                 2824                                 30                  
TORCH (ATLAS)                         90739125 ZAVALA                      3165                                 92358                                35                  
TORCH (ATLAS SEG. C)                  90739250 ZAVALA                      3217                                 137055                               32                  
TORCH (KING)                          90739375 ZAVALA                      3006                                 2113295                              34                  
TORCH (KING SEG. B)                   90739500 ZAVALA                      3035                                 124578                               35                  
TORCH (KING SEG. C)                   90739625 ZAVALA                      3027                                 499771                               35                  
TORCH (OLMOS 4)                       90739882 ZAVALA                      2675                                 2804                                 28                  
TORCH (SAN MIGUEL G)                  90739887 ZAVALA                      2920                                 15007                                34                  
TORCH (SERPENTINE)                    90739900 ZAVALA                      3548                                 5475                                 38                  
TORCH, EAST (TAYLOR LIME)             90740750 ZAVALA                      3654                                 1156                                 17                  
TORTUGAS (OLMOS 3                     90799333 ZAVALA                      3966                                 11692                                29                  
TORTUGAS (OLMOS 4030)                 90799666 ZAVALA                      4032                                 4233                                 29                  
TOUCHSTONE (OLMOS -A-)                90831500 FRIO                        3600                                 224461                               37                  
TOUCHSTONE, EAST (OLMOS -A-)          90832500 FRIO                        3643                                 137183                               37                  
TREBMAL (SERPENTINE)                  91030600 BASTROP                     2732                                 21635                                41                  
TRES ENCANTO (ESCONDIDO)              91058080 LA SALLE                    6768                                 2225247                              50                  
TRI BAR (OLMOS)                       91080500 LA SALLE                    8164                                 5783                                 50                  
TRI BAR, NORTH (OLMOS)                91082500 LA SALLE                    8096                                 526081                               52                  
TRI-BAR, NORTH (WILCOX 4400)          91082575 LA SALLE                    4425                                 1625                                 50                  
TRI BAR, NORTH (WILCOX 4              91082600 LA SALLE                    4950                                 26279                                37                  
TUCKER TREND (PECAN GAP)              91640500 BASTROP                     5882                                 3321                                 37                  
TURNEY                                91931001 EDWARDS                     600                                  49585                                20                  
TWIN RIVERS (AUSTIN CHALK)            92063500 GONZALES                    6575                                 93993                                32                  
TWO FINGERS (WILCOX)                  92095333 LA SALLE                    5392                                 58703                                48                  
TWO FINGERS, S. (WILCOX 5550)         92099500 LA SALLE                    5549                                 96149                                49                  
TWO M (GEORGETOWN)                    92102350 MAVERICK                    2470                                 1142025                              36                  
TYLER RANCH                           92190500 MCMULLEN                    5556                                 24307                                42                  
UNITED                                92478001 GUADALUPE                   2808                                 17364                                39                  
V. DESHAZO (ANACACHO)                 92815050 ZAVALA                      3134                                 4375                                 23                  
VELMA (BUDA LIME)                     93382333 ATASCOSA                    7362                                 21263                                30                  
VELMA (ESCONDID0)                     93382666 ATASCOSA                    4635                                 694074                               38                  
VERDI (5600)                          93531500 ATASCOSA                    5665                                 7784                                 17                  
VERNA (ANACACHO)                      93591500 ATASCOSA                    2062                                 47968                                32                  
VERONICA (4440 SAND)                  93609750 ZAVALA                      4452                                 31177                                44                  
VESPER (OLMOS)                        93633333 LA SALLE                    5008                                 16658                                38                  
VESPER (OLMOS B)                      93633666 LA SALLE                    5054                                 32335                                42                  
VISTO (AUSTIN)                        94000100 WILSON                      6802                                 2794                                 24                  
VISTO (BUDA)                          94000200 WILSON                      6928                                 8703                                 27                  
VON ORMY                              94100001 BEXAR                       700                                  4045285                              36                  
VYVLECKA (CARRIZO)                    94175500 ATASCOSA                    1520                                 50318                                22                  
W. B. M. (POTH -A-)                   94229500 WILSON                      1315                                 308                                  18                  
W.C. FINCH (SIMSBORO 1                94248500 MILAM                       1930                                 903839                               17                  
W. P. HOLLOWAY (AUSTIN CHALK)         94356333 ATASCOSA                    6130                                 153810                               31                  
W. P. HOLLOWAY (BUDA)                 94356666 ATASCOSA                    6486                                 709809                               30                  
W. P. HOLLOWAY (NAVARRO)              94356800 ATASCOSA                    4238                                 56856                                31                  
W. P. JENNY (SAN MIGUEL)              94363500 MEDINA                      1162                                 5303                                 80                  
WRK (JACKSON 2250)                    94380230 MCMULLEN                    2253                                 64443                                21                  
W-K (WALES)                           94387475 MCMULLEN                    5415                                 103235                               46                  
W-K (W-15 WRIGHT)                     94387476 MCMULLEN                    5929                                 67138                                42                  
WAELDER, SOUTH, (AUSTIN CHALK)        94557500 GONZALES                    8211                                 32739                                44                  
WAELDER, SOUTH (ESCONDIDO)            94557600 GONZALES                    6256                                 115564                               36                  
WALDEN (GEORGETOWN)                   94712333 MAVERICK                    2450                                 1729                                 27                  
WALNUT CREEK                          94933001 CALDWELL                    1335                                 28831                                37                  
WALNUT CREEK (DALE LIME)              94933500 CALDWELL                    1120                                 5375                                 37                  
WALT (PALUXY)                         94967500 EDWARDS                     284                                  32375                                17                  
WALTON (NAVARRO)                      94995500 ATASCOSA                    4290                                 139091                               41                  
WARD BOX (OLMOS)                      95148500 ZAVALA                      2683                                 1709                                 30                  
WARDLAW                               95208001 EDWARDS                     300                                  155582                               18                  
WARNCKE (CARRIZO)                     95265500 WILSON                      458                                  1083                                 19                  
WASHBURN, EAST (4600)                 95315250 LA SALLE                    4660                                 16504                                44                  
WASHBURN, EAST (4800)                 95315333 LA SALLE                    4862                                 160007                               40                  
WASHBURN, EAST (5100)                 95315666 LA SALLE                    5171                                 276306                               47                  
WASHBURN, EAST (5100 UPPER)           95315700 LA SALLE                    5165                                 65369                                40                  
WASHBURN, NORTH (WILCOX -M- SD.)      95316500 LA SALLE                    4718                                 800036                               47                  
WASHBURN, WEST (WILCOX LO.)           95321125 LA SALLE                    5382                                 351628                               37                  
WASHBURN, WEST (WILCOX T)             95321250 LA SALLE                    5283                                 40871                                46                  
WASHBURN, WEST (WILCOX Y)             95321375 LA SALLE                    5564                                 1657                                 58                  
WASHBURN, WEST (WILCOX 5100)          95321550 LA SALLE                    5102                                 22243                                37                  
WASHBURN, WEST (WILCOX 5200, E.)      95321625 LA SALLE                    5217                                 118930                               43                  
WASHBURN, WEST (5270)                 95321877 LA SALLE                    5280                                 198503                               40                  
WASHBURN, WEST (5330)                 95321880 LA SALLE                    5359                                 2112                                 49                  
WASHBURN RANCH                        95335001 LA SALLE                    5300                                 2902899                              42                  
WASHBURN RANCH (WILCOX 5200)          95335190 LA SALLE                    5208                                 45542                                49                  
WASHBURN RANCH (WILCOX 5350)          95335200 LA SALLE                    5369                                 11538                                49                  
WASHBURN RANCH (4600)                 95335249 LA SALLE                    4616                                 15539                                48                  
WASHBURN RANCH (4600, N.)             95335332 LA SALLE                    4619                                 5315                                 43                  
WASHBURN RANCH (4800)                 95335415 LA SALLE                    4807                                 54630                                38                  
WASHBURN RANCH (5100 SD.)             95335498 LA SALLE                    5150                                 183307                               40                  
WASHBURN RANCH (5400 SD. N.)          95335747 LA SALLE                    5418                                 74180                                41                  
WASHBURN RANCH (5450)                 95335830 LA SALLE                    5480                                 797964                               43                  
WASHBURN RANCH (5500 SD.)             95335913 LA SALLE                    5500                                 466787                               42                  
WASHBURN RANCH (5500 SD. W)           95335920 LA SALLE                    5603                                 24494                                48                  
WASHBURN RANCH,W.(WILCX 5100,W.)      95341111 LA SALLE                    5084                                 271626                               41                  
WASHBURN RANCH,W. (WILCOX 5330W)      95341200 LA SALLE                    5338                                 710                                  41                  
WASHBURN RANCH,W.(WILCX 5350,W.)      95341222 LA SALLE                    5346                                 56869                                47                  
WASHBURN RANCH, WEST (4600)           95341300 LA SALLE                    4604                                 114616                               44                  
WASHBURN RANCH, WEST (4800)           95341333 LA SALLE                    4831                                 18624                                44                  
WASHBURN RANCH, WEST (5100 SD.)       95341555 LA SALLE                    5100                                 7182                                 42                  
WASHBURN RANCH, WEST (5100, S.)       95341666 LA SALLE                    5128                                 1495                                 38                  
WASHBURN RANCH, WEST (5450)           95341888 LA SALLE                    5328                                 17155                                46                  
WATKINS RANCH (SAN MIGUEL)            95481500 ZAVALA                      361                                  678                                  29                  
WEAVER & OLSON (POTH)                 95612500 WILSON                      1460                                 1211632                              28                  
WEIGANG                               95888001 ATASCOSA                    3921                                 13283268                             25                  
WEIGANG (REKLAW)                      95888333 ATASCOSA                    3747                                 132836                               29                  
WEIGANG (REKLAW SEG A)                95888666 ATASCOSA                    3764                                 50193                                26                  
WEIGANG, WEST (CARRIZO)               95894500 ATASCOSA                    3810                                 17745                                24                  
WEINERT (AUSTIN CHALK)                95994500 WILSON                      6849                                 45919                                24                  
WEINERT (BUDA)                        95994600 WILSON                      7004                                 315339                               24                  
WEINERT (NAVARRO)                     95994800 WILSON                      5424                                 1479                                 23                  
WHEELER (OLMOS)                       96749500 MCMULLEN                    9920                                 311098                               37                  
WHEELER-MAG (HOCKLEY 800)             96775333 MCMULLEN                    864                                  431                                  25                  
WHEELER-MAG (1200)                    96775666 MCMULLEN                    1193                                 537410                               15                  
WHERRY & GREEN (CARRIZO)              96805333 ATASCOSA                    1690                                 235448                               19                  
WHERRY & GREEN (REKLAW)               96805666 ATASCOSA                    1710                                 426710                               20                  
WHIPLASH (AUSTIN CHALK)               96810300 WILSON                      4970                                 22832                                36                  
WHITE KITCHEN (CARRIZO)               96950333 LA SALLE                    3305                                 13642                                38                  
WHITECOTTON (AUSTIN CHALK)            96986100 DIMMIT                      6182                                 5600                                 40                  
WHITSETT (WILCOX 5                    97099500 ATASCOSA                    5902                                 1007                                 40                  
WILLA (BUDA)                          97485200 MILAM                       5653                                 24882                                36                  
WILLIAM HARRY (COCKRILL SD.3RD)       97540500 GONZALES                    2118                                 26637                                23                  
WILLIAM NEWMAN (BARTOSH)              97568500 GONZALES                    3169                                 1331                                 21                  
WINDMILL CREEK (ESCONDIDO)            97934200 ZAVALA                      716                                  58296                                16                  
WINKENWERDER (BUDA)                   98031200 GONZALES                    7735                                 6438                                 32                  
WINN-DULCE (BRACERO-OIL)              98075210 ZAVALA                      3074                                 569973                               19                  
WINN-DULCE (DEL MONTE)                98075250 ZAVALA                      2926                                 703                                  17                  
WINN-DULCE (DEL MONTE-OIL)            98075285 ZAVALA                      2921                                 325984                               15                  
WINN-DULCE (ELAINE)                   98075300 ZAVALA                      2790                                 713568                               14                  
WINN-DULCE (OLMOS-OIL)                98075532 ZAVALA                      2767                                 1355                                 27                  
WINN-DULCE (WILCOX)                   98075700 ZAVALA                      1150                                 77                                   26                  
WINSTON (AUSTIN CHALK)                98111500 GONZALES                    7376                                 239383                               20                  
WINTER GARDEN                         98132001 DIMMIT                      2555                                 101923                               41                  
WINTER GARDEN (OLMOS)                 98132025 DIMMIT                      2821                                 52373                                41                  
WINTER GARDEN ( 2 SAND)               98132066 DIMMIT                      2561                                 286037                               41                  
WINTER GARDEN ( 3 SAND OLMOS)         98132132 DIMMIT                      2536                                 56395                                44                  
WINTER GARDEN ( 3-A SAND)             98132198 DIMMIT                      2566                                 318854                               41                  
WINTER GARDEN ( 3-D SAND)             98132264 DIMMIT                      2626                                 38059                                44                  
WINTER GARDEN ( 3-D SAND, SOUTH)      98132330 DIMMIT                      2670                                 30420                                40                  
WINTER GARDEN ( 4 SAND OLMOS)         98132396 DIMMIT                      1955                                 0                                    40                  
WINTER GARDEN ( 4-A SAND)             98132462 DIMMIT                      2689                                 5620                                 43                  
WINTER GARDEN ( 4-B SAND)             98132528 DIMMIT                      2636                                 156119                               44                  
WINTER GARDEN ( 4-B SAND, SOUTH)      98132594 DIMMIT                      2719                                 90163                                43                  
WINTER GARDEN ( 4-C SAND)             98132660 DIMMIT                      2739                                 126960                               44                  
WINTER GARDEN ( 4-C SAND, SOUTH)      98132726 DIMMIT                      2736                                 10847                                43                  
WINTER GARDEN ( 4-D-1, SOUTH)         98132792 DIMMIT                      2799                                 62580                                40                  
WINTER GARDEN (5-A)                   98132820 DIMMIT                      2778                                 1381                                 40                  
WINTER GARDEN ( 6 SAND)               98132858 DIMMIT                      2821                                 9275                                 34                  
